NomScientifique,a_obs,b_obs,origine_obs,Taille_min_ratio,Taille_max_ratio,ratio_robuste,a_FB,b_FB,origine_FB,a_SIH,b_SIH,origine_SIH
Serranus cabrilla,0.01319009966513188,2.942868266039692,med,133,220,TRUE,0.0161,2.825,med,NA,NA,NA
Serranus hepatus,0.01544144966819337,3.0697373291909105,med,39.000001000000005,115,TRUE,0.0091,3.24,med,NA,NA,NA
Serranus scriba,NA,NA,NA,NA,NA,NA,0.0127,3.0032,med,NA,NA,NA
Solea senegalensis,NA,NA,NA,NA,NA,NA,0.00971,3,hors med,NA,NA,NA
Solea solea,0.00654205626663803,3.0721803197165274,med,166.000004,419.000015,FALSE,0.0019,3.453,med,3.58e-6,3.263,med
Sparisoma cretense,NA,NA,NA,NA,NA,NA,0.0117,3.1203,med,NA,NA,NA
Sparus aurata,0.01670587208847884,2.940772597380463,med,138.99999599999998,267.00000800000004,TRUE,0.0173,2.8898,med,1.12e-5,3.08,med
Sphyraena sphyraena,0.0021095306133187,3.2377485737214076,med,187.000008,245,FALSE,NA,NA,NA,NA,NA,NA
Spicara flexuosum,0.00845312421916516,3.097039340688919,med,63.000002,220,TRUE,0.0132,3.04,hors med,NA,NA,NA
Spicara maena,NA,NA,NA,NA,NA,NA,0.0097,3.076,med,NA,NA,NA
Spicara smaris,0.03166772064271762,2.5363957269572,med,78.00000200000001,178.999996,TRUE,0.01024999999999999,2.94,med,NA,NA,NA
Spondyliosoma cantharus,0.01831616991896662,2.953224376000646,med,155,223.999996,FALSE,0.05401,3.093,med,9.305e-6,3.162883,hors med
Symphodus cinereus,NA,NA,NA,NA,NA,NA,0.0078,3.26,hors med,NA,NA,NA
Symphodus mediterraneus,NA,NA,NA,NA,NA,NA,0.01,3.157,hors med,NA,NA,NA
Symphodus melops,NA,NA,NA,NA,NA,NA,0.0112,3.17,hors med,NA,NA,NA
Symphodus ocellatus,NA,NA,NA,NA,NA,NA,0.04195,2.9370000000000003,med,NA,NA,NA
Symphodus roissali,NA,NA,NA,NA,NA,NA,0.0069,3.386,hors med,NA,NA,NA
Symphodus rostratus,NA,NA,NA,NA,NA,NA,0.007,3.193,hors med,NA,NA,NA
Symphodus tinca,NA,NA,NA,NA,NA,NA,0.0296,2.7205,med,NA,NA,NA
Synodus saurus,116.00000000000004,NA,med,252.999992,252.999992,FALSE,0.0073,3.024,med,NA,NA,NA
Thunnus thynnus,NA,NA,NA,NA,NA,NA,0.02,2.96,med,NA,NA,NA
Torpedo marmorata,0.03827433548443458,2.813253586916829,med,110,405,FALSE,0.0035,3.557,med,3.17e-5,2.884,med
Torpedo torpedo,NA,NA,NA,NA,NA,NA,0.0133,3.045,med,NA,NA,NA
Trachinotus ovatus,NA,NA,NA,NA,NA,NA,0.022,2.73,hors med,NA,NA,NA
Trachinus araneus,NA,NA,NA,NA,NA,NA,0.0072,2.9503,med,NA,NA,NA
Trachinus draco,0.00232639051687613,3.3171513168740816,med,146.00000400000002,327.999992,TRUE,0.0052,3.09,med,1.3116e-5,2.765551,hors med
Trachinus radiatus,NA,NA,NA,NA,NA,NA,0.0069,3.125,med,NA,NA,NA
Trachurus mediterraneus,0.00807647519389772,3.0028563504751418,med,40,372.000008,TRUE,0.0118,2.9172,med,8.16e-6,2.989,med
Trachurus picturatus,0.00387111998389617,3.260157781966285,med,106.000004,332.999992,FALSE,0.0089,2.96,hors med,NA,NA,NA
Trachurus trachurus,0.00734505285726456,3.045342318758164,med,55.999999,342,TRUE,0.0104,2.8971,med,1.066e-5,2.906,med
Trigla lyra,0.00730638033054539,3.0312380985181555,med,106.000004,449.000015,TRUE,0.0082,2.96,hors med,NA,NA,NA
Trisopterus capelanus,26,NA,med,140,140,FALSE,0.0071,3.167,hors med,NA,NA,NA
Xiphias gladius,199.7011543337961,0.951443146041726,med,920,1770,FALSE,4.9e-4,3.64,hors med,1.443e-5,2.963,hors med
Xyrichtys novacula,NA,NA,NA,NA,NA,NA,0.0481,2.243,hors med,NA,NA,NA
Zeus faber,0.01744695859275541,2.9581046772733077,med,41.999998,620,FALSE,0.0327,2.711,med,2.3e-5,2.862,med
